City,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
283,Kawalu,ID,74.98,-7.3817,108.2082,overcast clouds,KOSAN UNGU UNSIK
284,Samarai,PG,79.63,-10.6167,150.6667,scattered clouds,Nuli Sapi
285,Richards Bay,ZA,63.39,-28.783,32.0377,few clouds,BON Hotel Waterfront Richards Bay
286,Kota Tinggi,MY,85.89,1.7381,103.8999,overcast clouds,Canopy Tribe
287,Xuddur,SO,70.47,4.1213,43.8894,clear sky,Banjanay Hotel
288,Muros,ES,68.23,42.7762,-9.0603,overcast clouds,Apartment Av. Castelao
289,Saint-Pierre,RE,68.29,-21.3393,55.4781,light rain,Lindsey Hôtel
290,Vao,NC,68.36,-22.6667,167.4833,few clouds,Hotel Kou-Bugny
292,Alappuzha,IN,78.69,9.49,76.3264,moderate rain,Panoramic Sea Resort
293,New Norfolk,AU,56.91,-42.7826,147.0587,light rain,The Shingles Riverside Cottages
294,Kailua,US,89.58,21.4022,-157.7394,light rain,Sheffield House Bed & Breakfast
295,Saint-Philippe,RE,68.22,-21.3585,55.7679,light rain,"Chambres d'hôte ""La Trinité"""
296,Oyama,JP,74.89,36.3,139.8,clear sky,Toyoko Inn Oyama-eki Higashi-guchi No.1
297,Betare Oya,CM,65.7,5.6,14.0833,light rain,Auberge Tembina Betaré Oya
298,Burnie,AU,51.19,-41.0667,145.9167,overcast clouds,Beachfront Voyager Motor Inn
299,Kyaikto,MM,75.43,17.3,97.0167,overcast clouds,နီလာ တည်းခိုခန်း
300,Ratnagiri,IN,76.39,16.9833,73.3,broken clouds,Hotel Landmark
301,Laguna,US,84.24,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
304,Tubarao,BR,63.72,-28.4667,-49.0069,clear sky,Hotel San Silvestre
306,Mayo,US,67.08,38.8876,-76.5119,clear sky,Resorts Resource Group International
307,Manica,FR,60.21,49.0,-1.1667,light rain,Gite Lily
311,Chakwal,PK,77.38,32.9334,72.8585,clear sky,Uet Boys Hostel
313,Severo-Kurilsk,RU,52.45,50.6789,156.125,broken clouds,Kak Doma
315,Kavaratti,IN,81.25,10.5669,72.642,light rain,Hotels in Lakshadweep Islands
316,Craig,US,74.82,40.5153,-107.5464,clear sky,"Candlewood Suites Craig-Northwest, an IHG Hotel"
317,Ballina,AU,63.79,-28.8667,153.5667,broken clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
318,Sorong,ID,83.01,-0.8833,131.25,scattered clouds,waigo splash hotel
320,Kaseda,JP,81.63,31.4167,130.3167,few clouds,Sun Stay Kaseda
321,Santa Marta,CO,84.97,11.2408,-74.199,scattered clouds,Casa de Isabella
322,Leh,IN,51.93,34.1667,77.5833,clear sky,Hotel Ladakh Greens
323,Coari,BR,74.41,-4.085,-63.1414,heavy intensity rain,HOTEL ALEX FLAT
325,Mareeba,AU,84.33,-17.0,145.4333,few clouds,Trinity Plains Tourist Park
326,Dawei,MM,75.87,14.0833,98.2,overcast clouds,Hotel Dawei
328,Pallisa,UG,63.77,1.145,33.7094,clear sky,RNM HOTEL
330,Chateau-Gontier,FR,61.52,47.8333,-0.7,overcast clouds,Parc Hôtel & Spa
331,Bengkulu,ID,78.04,-3.8004,102.2655,broken clouds,Grage Hotel Bengkulu
332,Mnogovershinnyy,RU,52.12,53.9353,139.9242,overcast clouds,Obshchezhitiye 14
334,Pleasant Prairie,US,76.93,42.5531,-87.9334,clear sky,"Holiday Inn Express & Suites Pleasant Prairie / Kenosha, an IHG Hotel"
335,Port Lincoln,AU,65.7,-34.7333,135.8667,light rain,Port Lincoln Hotel
336,Paita,PE,64.87,-5.0892,-81.1144,few clouds,Hotel Náutico de Paita
337,Rawson,AR,50.99,-43.3002,-65.1023,clear sky,Hosteria Sampedro
338,Weleri,ID,83.21,-6.9713,110.0666,scattered clouds,Pengobatan Tradisional Weleri
340,Inverness,GB,52.99,57.4791,-4.224,moderate rain,Glen Mhor Hotel & Apartments
341,Stornoway,GB,51.76,58.2093,-6.3865,overcast clouds,Caladh Inn
342,Resistencia,AR,73.45,-27.4606,-58.9839,clear sky,Niyat Urban Hotel
343,Padang,ID,78.26,-0.9492,100.3543,overcast clouds,Mercure Padang
345,Pangkalanbuun,ID,82.83,-2.6833,111.6167,light rain,Grand Kecubung Hotel
348,Den Helder,NL,62.58,52.9599,4.7593,mist,Hotel Den Helder
351,Zhangye,CN,65.84,38.9342,100.4517,overcast clouds,Zhangye Lvzhou Holiday Inn
352,Mujiayingzi,CN,63.25,42.1167,118.7833,clear sky,Jinjiang Hotel
353,Dhidhdhoo,MV,77.68,6.8833,73.1,overcast clouds,Dhidhoo beach
355,Sola,VU,79.0,-13.8833,167.55,scattered clouds,Leumerus Bungalows
356,Lufilufi,WS,89.38,-13.8745,-171.5986,scattered clouds,Leuaina Beach Resort and Spa
357,Maracaibo,VE,82.29,10.6317,-71.6406,overcast clouds,Motel Aladdin
358,Cockburn Town,TC,83.28,21.4612,-71.1419,few clouds,Osprey Beach Hotel
359,Marsa,MT,75.27,35.8792,14.4953,clear sky,Anthony's Home Stay
360,Margate,GB,64.11,51.3813,1.3862,broken clouds,Premier Inn Margate hotel
362,Ailigandi,PA,81.03,9.2333,-78.0167,overcast clouds,Akwa Reef Lodge
363,San Francisco,US,70.93,37.7749,-122.4194,smoke,The Clift Royal Sonesta Hotel
364,Acajutla,SV,81.05,13.5928,-89.8275,light rain,asi es
365,Bayir,TR,52.32,37.2687,28.2167,broken clouds,Hotel Babadag
366,Tahta,EG,74.84,26.7693,31.5021,few clouds,مصطفي عساف
367,Saint Anthony,US,73.15,45.0205,-93.218,clear sky,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
368,Latina,IT,75.07,41.45,13.1,clear sky,Radici b&b
369,Winchester,GB,64.49,51.0651,-1.3187,light intensity drizzle,"The Wykeham Arms, Winchester"
370,Praia,CV,77.54,14.9215,-23.5087,few clouds,LT Aparthotel
371,Corning,US,60.76,42.1428,-77.0547,broken clouds,Fairfield Inn by Marriott Corning Riverside
372,Kavieng,PG,83.86,-2.5744,150.7967,scattered clouds,Nusa Island Retreat
373,Souillac,MU,68.38,-20.5167,57.5167,light intensity shower rain,Shanti Maurice Resort & Spa
374,Kendari,ID,82.96,-3.945,122.4989,overcast clouds,Hotel Wixel
375,San Juan,AR,63.37,-31.5375,-68.5364,clear sky,Hotel Provincial
376,Boke,GN,75.74,10.9409,-14.2967,overcast clouds,Hôtel Rio Nunez - Boké
380,Pundaguitan,PH,83.12,6.3711,126.1689,overcast clouds,Leonardo Family Beach House 1
383,Puerto Baquerizo Moreno,EC,68.85,-0.9,-89.6,scattered clouds,Hotel los Algarrobos
384,Aktau,KZ,66.78,43.65,51.2,broken clouds,Silk Way Hotel
386,Trinidad,BO,86.59,-14.8333,-64.9,clear sky,Hotel Piesta
389,Kremenchuk,UA,50.56,49.0973,33.4197,broken clouds,"Готель ""Йолки-Палки"""
390,Honiara,SB,83.73,-9.4333,159.95,overcast clouds,Heritage Park Hotel
391,Skibbereen,IE,51.6,51.55,-9.2667,overcast clouds,The West Cork Hotel
393,Riyadh,SA,77.14,24.6877,46.7219,overcast clouds,"InterContinental Riyadh, an IHG Hotel"
394,Bosaso,SO,86.49,11.2842,49.1816,few clouds,Red Sea Hotel
395,Santa Rosa,PH,84.85,14.3122,121.1114,broken clouds,Erlyn’s Sta Rosa City Home
396,Mersing,MY,78.71,2.4312,103.8405,scattered clouds,Timotel Hotel
397,Lyubuchany,RU,50.09,55.2511,37.5456,overcast clouds,Coinpace
398,Dwarka,IN,81.09,22.2394,68.9678,overcast clouds,Hotel Narayan Avezika Comfort
399,Flinders,AU,64.2,-34.5833,150.8552,broken clouds,Shellharbour Resort & Conference Centre
400,Marieville,CA,59.92,45.4334,-73.1658,overcast clouds,Manoir Ramezay
402,Petropavlovsk-Kamchatskiy,RU,54.19,53.0452,158.6483,few clouds,The Hotel Petropavlovsky
405,Sao Joao Da Barra,BR,73.0,-21.6403,-41.0511,overcast clouds,Pousada Porto De Canoas
406,Safford,US,72.52,32.834,-109.7076,clear sky,SpringHill Suites by Marriott Thatcher
407,Valera,VE,73.04,9.3178,-70.6036,broken clouds,Hotel Camino Real
409,Qinzhou,CN,81.61,21.95,108.6167,clear sky,Jinjiang Inn Style Qingzhou Walmart
410,Ponta Do Sol,PT,70.72,32.6667,-17.1,scattered clouds,Hotel do Campo
412,Atasu,KZ,50.88,48.6814,71.6433,overcast clouds,Dostyk
414,Trofors,NO,58.35,65.5333,13.4063,overcast clouds,Hause for Marcus and Martinus
415,Vanimo,PG,85.64,-2.6741,141.3028,light rain,Vahmoneh Lodge Vanimo
416,Port Moresby,PG,83.73,-9.4431,147.1797,broken clouds,Lamana Hotel (Port Moresby)
418,Poum,NC,72.82,-20.2333,164.0167,clear sky,Gîte kajeon
419,The Valley,AI,84.81,18.217,-63.0578,clear sky,CeBlue Villas & Beach Resort
420,Katobu,ID,83.41,-4.9408,122.5276,broken clouds,La Ode Husein
421,Shakawe,BW,64.2,-18.3667,21.85,clear sky,Ditlhapi Guest House
422,Puerto Carreno,CO,78.89,6.189,-67.4859,overcast clouds,Casa Hotel Victoria
423,Russell,US,71.2,32.3502,-85.1999,clear sky,Macs
424,Yaring,TH,80.64,6.8662,101.3689,overcast clouds,สถานที่จัดงานแต่ง SOFEE & DORN
425,Hambantota,LK,78.19,6.1241,81.1185,overcast clouds,Bungalow 63
427,Ferrol,ES,66.36,43.4832,-8.2369,light rain,Parador de Ferrol
429,Rantauprapat,ID,74.1,2.1,99.8333,overcast clouds,Permata Land Hotel & Resort
431,Alihe,CN,53.02,50.5667,123.7167,clear sky,Alihe Forestry Hotel
433,Requena,ES,62.13,39.4883,-1.1004,broken clouds,Hotel Avenida
