City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Mehamn,NO,71.0357,27.8492,48.45,88,100,14.5,overcast clouds
311,Chakwal,PK,32.9334,72.8585,77.38,65,0,5.1,clear sky
312,Egvekinot,RU,66.3167,-179.1667,26.69,71,9,2.8,clear sky
313,Severo-Kurilsk,RU,50.6789,156.125,52.45,82,66,12.33,broken clouds
314,Anadyr,RU,64.75,177.4833,36.1,80,20,2.24,few clouds
315,Kavaratti,IN,10.5669,72.642,81.25,79,100,24.38,light rain
316,Craig,US,40.5153,-107.5464,74.82,22,1,3.44,clear sky
317,Ballina,AU,-28.8667,153.5667,63.79,55,75,10.09,broken clouds
318,Sorong,ID,-0.8833,131.25,83.01,73,32,3.0,scattered clouds
319,Chokurdakh,RU,70.6333,147.9167,27.14,88,100,19.39,light snow
320,Kaseda,JP,31.4167,130.3167,81.63,68,11,9.64,few clouds
321,Santa Marta,CO,11.2408,-74.199,84.97,80,40,5.99,scattered clouds
322,Leh,IN,34.1667,77.5833,51.93,32,0,2.75,clear sky
323,Coari,BR,-4.085,-63.1414,74.41,90,35,1.61,heavy intensity rain
324,Jinka,ET,5.65,36.65,64.98,75,95,2.37,overcast clouds
325,Mareeba,AU,-17.0,145.4333,84.33,49,12,6.06,few clouds
326,Dawei,MM,14.0833,98.2,75.87,93,100,2.37,overcast clouds
327,Livenka,RU,50.4491,38.2959,47.84,78,82,13.96,broken clouds
328,Pallisa,UG,1.145,33.7094,63.77,91,8,3.06,clear sky
329,Henties Bay,NA,-22.116,14.2845,55.85,94,17,5.08,few clouds
330,Chateau-Gontier,FR,47.8333,-0.7,61.52,96,100,9.89,overcast clouds
331,Bengkulu,ID,-3.8004,102.2655,78.04,84,67,4.5,broken clouds
332,Mnogovershinnyy,RU,53.9353,139.9242,52.12,38,97,4.47,overcast clouds
333,Kungurtug,RU,50.5994,97.5228,32.5,90,77,4.32,snow
334,Pleasant Prairie,US,42.5531,-87.9334,76.93,40,1,7.0,clear sky
335,Port Lincoln,AU,-34.7333,135.8667,65.7,47,100,15.73,light rain
336,Paita,PE,-5.0892,-81.1144,64.87,87,16,10.67,few clouds
337,Rawson,AR,-43.3002,-65.1023,50.99,37,6,0.54,clear sky
338,Weleri,ID,-6.9713,110.0666,83.21,73,49,2.62,scattered clouds
339,Srednekolymsk,RU,67.45,153.6833,32.97,81,100,14.7,light snow
340,Inverness,GB,57.4791,-4.224,52.99,95,20,0.0,moderate rain
341,Stornoway,GB,58.2093,-6.3865,51.76,82,100,11.5,overcast clouds
342,Resistencia,AR,-27.4606,-58.9839,73.45,58,0,6.91,clear sky
343,Padang,ID,-0.9492,100.3543,78.26,88,100,3.67,overcast clouds
344,Hovd,MN,48.0056,91.6419,38.41,38,4,5.23,clear sky
345,Pangkalanbuun,ID,-2.6833,111.6167,82.83,71,48,2.06,light rain
346,Lavrentiya,RU,65.5833,-171.0,34.03,82,71,4.45,broken clouds
347,Polyarnyy,RU,69.1989,33.4478,45.07,80,100,16.82,overcast clouds
348,Den Helder,NL,52.9599,4.7593,62.58,94,100,6.91,mist
